,Id,State,Country,Lat,Long,Date,ConfirmedCases,Fatalities,pdc
0,1,not,Afghanistan,33.0,65.0,22-01-2020,0,0,2
1,2,not,Afghanistan,33.0,65.0,23-01-2020,0,0,0
2,3,not,Afghanistan,33.0,65.0,24-01-2020,0,0,0
3,4,not,Afghanistan,33.0,65.0,25-01-2020,0,0,0
4,5,not,Afghanistan,33.0,65.0,26-01-2020,0,0,0
5,6,not,Afghanistan,33.0,65.0,27-01-2020,0,0,0
6,7,not,Afghanistan,33.0,65.0,28-01-2020,0,0,0
7,8,not,Afghanistan,33.0,65.0,29-01-2020,0,0,0
8,9,not,Afghanistan,33.0,65.0,30-01-2020,0,0,0
9,10,not,Afghanistan,33.0,65.0,31-01-2020,0,0,0
10,11,not,Afghanistan,33.0,65.0,01-02-2020,0,0,0
11,12,not,Afghanistan,33.0,65.0,02-02-2020,0,0,0
12,13,not,Afghanistan,33.0,65.0,03-02-2020,0,0,0
13,14,not,Afghanistan,33.0,65.0,04-02-2020,0,0,0
14,15,not,Afghanistan,33.0,65.0,05-02-2020,0,0,0
15,16,not,Afghanistan,33.0,65.0,06-02-2020,0,0,0
16,17,not,Afghanistan,33.0,65.0,07-02-2020,0,0,0
17,18,not,Afghanistan,33.0,65.0,08-02-2020,0,0,0
18,19,not,Afghanistan,33.0,65.0,09-02-2020,0,0,0
19,20,not,Afghanistan,33.0,65.0,10-02-2020,0,0,0
20,21,not,Afghanistan,33.0,65.0,11-02-2020,0,0,0
21,22,not,Afghanistan,33.0,65.0,12-02-2020,0,0,0
22,23,not,Afghanistan,33.0,65.0,13-02-2020,0,0,0
23,24,not,Afghanistan,33.0,65.0,14-02-2020,0,0,0
24,25,not,Afghanistan,33.0,65.0,15-02-2020,0,0,0
25,26,not,Afghanistan,33.0,65.0,16-02-2020,0,0,0
26,27,not,Afghanistan,33.0,65.0,17-02-2020,0,0,0
27,28,not,Afghanistan,33.0,65.0,18-02-2020,0,0,0
28,29,not,Afghanistan,33.0,65.0,19-02-2020,0,0,0
29,30,not,Afghanistan,33.0,65.0,20-02-2020,0,0,0
30,31,not,Afghanistan,33.0,65.0,21-02-2020,0,0,0
